City,AverageTemperature
Moscow,2.1101774591254294
Mashhad,2.1009237146773287
Montreal,2.037509300865697
Kiev,2.00000210245891
Baghdad,1.88737495969551
Saint Petersburg,1.8782749779500683
Toronto,1.8019475007814805
Riyadh,1.7769021486625611
New York,1.7100412054172676
Harbin,1.6776313546713055
